GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
860300P;Schwerzenbach, Politische Gemeinde;BFS-Nr. / SGEM;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197
860700PS;Seegräben, Politische Gemeinde;BFS-Nr. / SGEM;119;119;119;119;119;119;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847200PP;Seuzach, Politische Gemeinde;BFS-Nr. / SGEM;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;;;;;;;;;;;;
817400P;Stadel, Politische Gemeinde;BFS-Nr. / SGEM;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
871200PS;Stäfa, Politische Gemeinde;BFS-Nr. / SGEM;158;158;158;158;158;158;158;158;158;158;;;;;;;;;;;;;;;;;;;;;;;;;
814300PP;Stallikon, Politische Gemeinde;BFS-Nr. / SGEM;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;;;;;;;;
847601PS;Stammheim, Politische Gemeinde;BFS-Nr. / SGEM;292;292;292;292;292;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
816200PP;Steinmaur, Politische Gemeinde;BFS-Nr. / SGEM;101;101;101;101;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
816200P;Steinmaur, Politische Gemeinde (bis 2019);BFS-Nr. / SGEM;;;;;;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
847800PP;Thalheim a.d.Thur, Politische Gemeinde;BFS-Nr. / SGEM;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;;;;;;;;;;;;;;;;
880000PS;Thalwil, Politische Gemeinde;BFS-Nr. / SGEM;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141
846600P;Trüllikon, Politische Gemeinde;BFS-Nr. / SGEM;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
846700P;Truttikon, Politische Gemeinde;BFS-Nr. / SGEM;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
